job_title,summary
linux software engineer,a platform engineer creates headless reusable systems that others build apps on. there is more emphasis on systems programming scalability and reliability and api design; less emphasis on business logic ui/ux design and end-user features.responsibilities:design develop and implement linux based platforms for client’s security appliances for deployment in a virtualization environments.education:bachelor’s in computer science or computer engineering; or equivalent experienceskills:linux administrationexperience in deploying and automating tasks in linuxexperience in linux a variety of scripting languages (bash and python required)experience with make systemsexperience with debian packagingexperience in building self-administrating systemexperience with vmware and linux containers a plusexperience with fips certification a plusknowledge of secure communicationsexperience:5+ years in linux development using linux including platform/system engineeringfluency in englishprovided by dice linux api vmware debian packaging fimps
audio software engineer,our lower peninsula (san francisco bay area)based client has an immediate need for an audio software engineer for direct hire opportunity.join a cutting-edge startup with lots of funding. push the envelope of technology help improve people’s lives and make a potentially big financial gain in the process.unlimited pto wfh (work from home) flex days allowed and an awesome enabling work culture.requirements5+ years’ experience in the field of audio software engineering (preferably with a big audio focused company)c/c++ (c c++) python programming skills.fundamentals in both analog and digital audio (sample rate channels bitrate waves etc)linux systems programminglinux audio apis and libraries (jack alsa portaudio)real-time programminggit scm/vcspriority given to:demonstrative audio hardware experience/knowledgenetwork programminginterrogation of propriety codewebrtc steaming audioskills: python c++ c audio technology audio engineering linux webrtc audiothe mice groups is a certified minority business enterprise. we have been named one of silicon valley's fastest growing private companies two years in a row and were named to inc's 5000 fastest growing private companies in the nation.we provide professional technology staffing solutions to the most respected companies in a variety of industries including finance and banking software development e-commerce and retail biotechnology healthcare insurance and services for contract contract to hire as well as direct hire roles.please visit our new website at www.micegroups.com to see all of our current openings.provided by dice audio engineer audio dsp analog digital linux c c++ c/c++ audio api jack alsa portaudio webrtc streaming audio audio hardware
atg web commerce developer,atg web commerce developerour client a major health service firm is looking for an atg web commerce developer. their multi-year projects involve transforming their ecommerce platforms to the latest technologies (atg web commerce java js angular react node etc.) and digitizing their whole business. the atg web commerce developer will be instrumental in designing developing and customizing the client’s highly scalable future e-commerce platform based on atg web commerce. the e-commerce application developer will be a hands-on developer with strong experience in the oracle atg web commerce platform and java technologies.responsibilitiesresearch and develop innovative and highly scalable ecommerce digital solutionsbuild rapid prototypes and evaluate solutions to design and innovate technologies or solution for effective and rapid application deploymentwork closely with product owner architect ux designer and other engineers to design and develop scalable robust and secure e-commerce applicationsperform design and code reviews of other peersmentor junior software engineersdocument application design (ad) and ensure solution adheres to the technical designminimum experience required:5+ years of software architecture design and development experience in e-commerce space using java/j2ee5+ years of experience architecting and developing e-commerce solutions using atg web commerce suitestrong experience designing and implementing – customized profile product catalog order flows payment checkoutstrong experience with developing restful web services apis and implementing cachinggood experience with agile software development (xp scrum test driven development)experience with a ci/cd pipeline git stash bit bucket artifactory jenkins etccandidates requiring new h1b visas h1b visa transfers or gc sponsorship also welcome to apply. quintessence is a direct vendor to fortune 1000 firms in the usa for the last 20 years.for additional information please call quintessence at 516-484-7300.provided by dice atg web commerce design development java spring restful web services oracle or other rdbms
software developer/ engineer,w2 only _ no c2ci'm looking for a software engineer/ developer with 2+ years in c# and .netrequires 4 year computer science degree (or stem degree). ms visual studio and knowledge of machine vision  robotics and automation. will work with other developers to create software to interface with front-end desktop apps. some travel required up to 10% domestically.provided by dice c# and .net
embedded software engineer,position: embedded software engineerrequired skills:3-7 years of industry experience or knowledge in the following areas:embedded software development using cdevelopment on 16-bit or 32-bit microcontrollersoperating systems/kernel and low-level device drivers etc.software architecturec++/java and/or object-oriented programmingdesired skills:working knowledge of a configuration management tooltroubleshooting and debugging skillsexcellent communication skills (written and verbal)able to work effectively in a diverse team environmenthigh level self-motivation and strong work ethicsstrong capacity and willingness to learnwilling to relocate within the uscontact:vamsi krishnasr. technical recruitervamsi@talentminds.com214-884-6221provided by dice embedded 16-bit or 32-bit microcontrollers c++
cloud software engineer,our san jose ca based automotive client has an immediate need for a cloud software engineer for a direct hire opportunity.the software engineer will be writing testing and deploying software for the client’s automotive platform. this person will be a part of team to help build technology which will merge software data analytics and automotive-grade safety systems into a unified solutions in the automated vehicle market.job requirementsbuilding system designs and architecture from scratchexperienced with coding in java preferredunit testing and agile development practicesfamiliar with deployment of container based applications such as mqtt and amqpexperienced with hadoop and sparkknowledgeof api design and frameworks (rest hateoas swagger graphql)nice to havedatabase experience (sql or nosql)ui design and frameworks experiencemulti-threading/agent frameworks (akka)functional programing experience (clojure erlang haskell)back end mobile development experiencethe mice groups is a certified minority business enterprise. we have been named one of silicon valley's fastest growing private companies two years in a row and were named to inc's 5000 fastest growing private companies in the nation.we provide professional technology staffing solutions to the most respected companies in a variety of industries including finance and banking software development e-commerce and retail biotechnology healthcare insurance and services for contract contract to hire as well as direct hire roles.please visit our new website at www.micegroups.com/ to see a complete listing of all of our current openings.provided by dice java mqtt amqp hadoop spark api rest hateoas swagger graphql sql nosql akka clojure erlang haskell back end mobile developemtn
devops engineer with java,role description12 years it industry experience.5 years in cicd using jenkins github svn and clearcase. must be experienced in the design development delivery and support of dev/ops automation tools and processes. develop and maintain build plans onboard new project teams to the automation system as required. should be able to ensure that all processes required for cicd are documented and followed by the development team.act within a cross-functional scrum-based team focused on agile and continuous software delivery.demonstrate highly effective communication interpersonal and teamwork skills.provide general technical support for a high availability environment.qualificationsmandatory strong understanding of sdlc waterfall and agile models. experience in applying agile and devops methodologies ability to use a variety of open source technologies and tools ability to code and script comfortable with frequent incremental code testing and deployment. comfort with collaboration open communication and reaching cross-functional borders experience in linux and windowsgood to have skills ability to develop suitable test techniques using an automated approach. experience in test driven development. experience in java or php or similar programming language. experience with junit selenium sonarqube jmeter or similar test frameworks.thank you & best regardssravan kumarsr it recruiter - recruitment and hr your trusted technology partnercolorado l new york l new jersey l missouri l texas l indiaoffice number: 832-582-3222 x 3207 l website:www.xtivia.comprovided by dice devops jenkins github svn clearcase java ci/cd
qa web engineer,web qa engineerwe are looking for a talented experienced web qa engineer to assist with quality assurance program.responsibilitiesensure all digital projects adhere to a high level of quality via well-defined test plans and thorough qa practicesparticipate in the digital project lifecycle by documenting requirements testing and ensuring the quality of all web sites and landing pageswork closely with internal resourced to maintain a detailed and accurate understanding of project requirements and feature nuancesverify cross-platform/device and cross-browser rendering and functionalitydocument any issues; provide fixes and/or recommendationsmaintain a list of bugs and issues within the web-based bug tracking softwareconduct on-going testing of all active websites to identify the presence of any regressionsmaintain working knowledge of the various web browsersreinforce testing best practices and conduct research to stay up-to-date on new products and testing methodologiesrequirements/skills5+ years of web application testing experienceexpertise with testing methodologies test plans and test case development and the defect reporting processsolid understanding of all browsers html flash javascript cssexperience working in agile scrum environments and knowledge of at least one script language is a plusexperience using automated testing softwareknowledge of technical seo practiceswe look forward to establishing a lasting relationship with all of our candidates as well as helping you to expand your network and realize your professional goals.this is a contract role and expected to last six months. if interested please contact taurean consulting at 702-529-0378 or itjobs@taureanconsulting.net.all candidates must be legally eligible to work for any employer in the united states. role is onsite in las vegas nv. this is not a remote opportunity.provided by dice qa web html css
developer/software engineer/programmer java .net php javascript,integratedelivery inc. - we are a global it company! come join and be better with us.we work with top ranked fortune 500 global companies in information technology pharmaceutical healthcare hospitals and insurance verticals.immediate hiring for opt/cpt and l2/h4 candidates all across usa!currently we are hiring entry level and/or experienced prospective candidates on opt/cpt and l2/h4 for several positions all across united states for following technologies: quality assurance(qa) java .net php javascript big data sap oracle aws devops sas data warehouse etl iot etc.requirements:we are an equal opportunity employer. we invite all qualified interested applicants to apply for career opportunities. we also provide h1b and green card sponsorship's as well for eligiblecandidates.we offer a competitive total compensation package and comprehensive benefits for you and your familybenefits:health benefitsrelocation benefitscertified companyh1b/perm sponsorship availablelong term contracts (on h1b h4 ead opt cpt green card citizenship)competitive payprovided by dice java .net javascript
software engineer iii ax,software engineer iii – axdirect hire – cypress ca. or schaumburg iljob summarythe software engineer iii - ax will be an integral member of the reliance technical solutions (rts) ax erp team and will be tasked with developing scalable technical solutions for reliance microsoft ax erp implementations across the reliance family of companies (focs). the individual is responsible for the technical design development implementation testing and operational / maintenance of new and existing programs in the reliance microsoft ax erp environment. the software engineer iii -ax will be required to work on task management and planning by breaking down functional specifications into technical designs development tasks estimates and executing to completion. in addition the software engineer iii -ax must ensure that developed code meets the technical and functional specifications through unit testing and validation.this role will be required to mentor other developers on ax best practices.essential functionstechnical design- able to identify analyze specify design and translate functional design to technical design. create and document technical designs for medium to high complexity solutions that may include integration with external systems.create and document technical designs for low to high complexity solutions that may include integrations with external systemsdesign systems that span multiple technologies/platformscreate and apply design standards across all applicationsdesign solutions to meet performance requirements and scalability expectationsdesign complex systems utilizing multiple technologies (may have a special area of expertise) including integrations with external systems.design and creates frameworks program controls and services that can be utilized by other developers in creation of applications.ensure the application operates according to functional and technical specifications· lead and/or participate in peer technical design reviewapplication development - able to write test debug and maintain applications for end-user adoption productivity improvement and efficiency.research analyze and produce high quality source code for low to high complexity solutionsmodify and enhance low to high complexity programsenable integration with third party applications using microsoft dynamics ax toolsapply more than one programming language to produce high quality source codetroubleshoot and resolve technical issuesdevelop knowledge of the company's applicationslead and/or participate in peer code reviewscollaborate with cross functional teams to identify and solve software defectsanticipate risks and implement contingency plans to resolve issues impacting applicationsdesign operational support systems like monitoring reporting fail over error handling etc.proactively enhances systems for stability efficiency scalability and robustnessdevelops sponsors and supports the introduction of new and improved methods products procedures and technologies.devise makes recommendations and guide implementation of corrective and/or preventive actionsunit testing and validation - ensures developed code meets the technical and functional specifications.participate in the installation and configuration of development/test/production dynamics ax 2012 environments as requiredprovide assistance/leadership in erp upgrades as requireddevelop and document effective unit test cases to test solution and validate results are as expectedmodify code if unit test failsensure the application operates according to functional and technical specificationstroubleshooting and resolve software bugs data and system configuration issuesdevelops reusable unit test case suiteensures test case suite incorporates broad coverage within application(s).provide accurate project effort estimates - ability to quantify and meet individual and project phase level efforts.manage ambiguity meet and create accurate project effort estimates for their assigned tasksunderstand consider and communicate interdependencies for project estimatesadhere to rts project methodology throughout project lifecycleaccurately identifies project-specific risks through the software development lifecycleadherence to standards - ability to create solutions that adhere to and incorporate rts standards.apply and use information and technology standards in solution design.identify opportunities for creating reusable enterprise servicesobtain key inputs from enterprise architecture to ensure compliance and exception managementidentify commonalities and suggest a consistent approach across projectspursues training and development opportunities; strives to continuously build knowledge and skillsassist personnel in other rts departments to resolve technical and/or application issuesother duties as requestedparticipate in gap fit analysismentor development team on microsoft dynamics ax technology (i.e. x++ morphx dynamics ax 2012 aif c# .net framework web forms/win forms wcf web services soa and ood/oop sql server) and integration tools as required5+ years of experience as a software developer required4+ years of dynamics ax project experience working as a sr. developer for at least one global/complex (multiple isv solutions / work streams) deployment required3+ years as a senior x++ developer working with large-scale application development requiredmicrosoft dynamics ax development / installation experience required (ax 2012 preferred)3+ years working with an object oriented development language (e.g. x++ c++ c# vb.net java .net framework) required4+ year with aif bof tfs and ssrs requiredmust be self-motivated and able to work independently with minimal supervision and as part of a teamdetail oriented with excellent interpersonal communication skillsexcellent customer service skillsstrong understanding of object-oriented programmingworking knowledge of programming methodologies structures and concepts .net framework uml xml sharepoint biztalkexperience with dynamics ax trace parser.experience with the diagnosis of x++ code tracing with performance analysis outcomes and recommendations.knowledge of t&l scm general ledger and projects including psaworking knowledge of database design and sql (query language)experience work with isv solutions such as bottomline ebanking cch avalara preferredhave experience in estimating development effortcurrent certifications in dynamics ax development introduction and morphx solutions developmentworking knowledge of microsoft platform skillsmust be able to travel up to 25%supplemental duties & responsibilities· occasionally may require an adjusted work schedule - evening/weekend hours in order to meet project deadlines or to access the computer system to support 2nd/3rd shift usersrequired & preferred qualifications· bachelor degree in computer science management of information science or equivalent work experience in a related field requiredplease send resumes to: cevans@planbsolutions.comprovided by dice ax dynamics ax software engineer software developer
java developer/engineer bigdata plateforms,as an engineer - big data platforms you will develop strategic design and requirements on small systems or modules of large systems (large scale). the engineer - big data platforms is essential to guiding and mentoring junior developers in developing code and workflow procedures as well as conducting code reviews. the engineer - big data platforms position is responsible for perform general application development activities including unit testing code deployment to development environment and technical documentation.additional responsibilities of the engineer - big data platforms include:be part of a team responsible for technical vision architecture design and development of platform components of the next generation bureau platform.participate in collaborative software and system design and development of the new platform.explore and evaluate new ideas and technologies.ensure conceptual and architectural integrity of the platform.work on large-scale multi-tier big data engagements.play active role in communities of practice and organizing hackathon(s).be a mentor and role model to less experienced developers.required skills:knowledge of oop design and patterns5+ years of experience developing with modern jdk (v1.7+) or scalastrong knowledge of source code repository like svn/git & build tools like mavenproven use of open source frameworksexperience developing high throughput or high volume applicationsstrong experience with linuxfamiliar with agile development practicespreferred skills:1+ year of experience with big data technologies such as spark kafka and/or hadoopexperience in working with un-structured or semi-structured datadevelopment experience with at least one nosql database development (2 years/skilled). cassandra and/or datomic preferred.devops: appreciates the ci and cd model and always builds to ease consumption and monitoring of the system.willingness to acquire new skillsexperience in building self-contained applications using docker vagrant puppet chefprovided by dice jdk v1.7+ oop design & patterns svn/git maven frameworks linux agile development bigdata-sparkkafka and/ hadoop nosql_ cassandra datomic devops- ci & cd model dockervegrantpuppet chef
data engineer,job title: data engineerlocation: santa clara caduration: 10 monthsjob descriptionthe role will require the candidate to build data pipelines that are scalable repeatable and secure and can serve multiple purposes. the candidate will be involved in building big data and batch / real-time analytical solutions that leverage emerging technologies. additional responsibilities include developing prototypes and proof of concepts for the selected solutions and implementing complex big data projects with a focus on collecting parsing managing analyzing and visualizing large sets of data using multiple platforms.responsibilities:data engineer will work on the collecting storing processing and analyzing of huge sets of datathe primary focus will be on implementing data ingestion and pipeline processgather and process raw data at scale (including writing scripts write sql queries etc.) to either build features that will be used in modeling or used for reportingresponsible for infrastructure that provides insight from raw data and handles diverse sources of data seamlesslywork closely with our team to integrate innovations and algorithms into our production systemsprocess unstructured data into a form suitable for analysissupport business decisions with ad hoc analysis as neededcreate data catalog data flow diagrams and interprets data results to business usersrecognize communicate & use interdependencies between components in and outside of the group in a new systemwork closely with other infrastructure group to understand various technical options available and hardware software & financial constraints and then accordingly come up with architecture that will be successfulrequirements:minimum 3 years of experience in etl data analysis data mining data modelingminimum 3 years of experience in hive impala and big data / hadoop technologiesgood understanding of data warehousing/olapexperience with integration of data from multiple data sourcesexperience processing large amounts of structured and unstructured dataknowledge of various etl techniques and frameworksgood understanding of data miningproficiency with big data / hadoop architecture (cloudera stack)expert in big data querying tools e.g. hive and impalaexperience with spark programming in python or scala is a plusexperience with nosql databases such as hbase mongodb is a plusmust have experience in semiconductors industry domaineducational qualificationsmaster or bachelors + equivalent experience in data science mathematics computer science operations research or statisticsprovided by dice etl cloudera big data spark
